EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,GENDER,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,F,124,MANAGER
121,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600,M,124,EMP
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400,M,101,OPERATOR
121,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000,F,100,TECHNICAL
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000,M,201,TECHNICAL
203,Susan,Mavris,SMAVRIS,515.123.7777,07-Jun-02,HR_REP,6500,M,101,TECHNICAL
204,Hermann,Baer,HBAER,515.123.8888,07-Jun-02,PR_REP,,F,101,TECHNICAL
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-Jun-02,AC_MGR,12008,M,101,TECHNICAL
121,William,Gietz,WGIETZ,515.123.8181,07-Jun-02,AC_ACCOUNT,8300,M,101,TECHNICAL
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000,F,101,TECHNICAL
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000,M,101,TECHNICAL
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000,M,101,TECHNICAL
103,Alexander,Hunold,LDEHAAN,590.423.4567,03-Jan-06,IT_PROG,9000,F,101,EMP
104,Bruce,Ernst,LDEHAAN,590.423.4568,21-May-07,IT_PROG,6000,M,101,EMP
105,David,Austin,LDEHAAN,590.423.4569,25-Jun-05,IT_PROG,,M,101,EMP
106,Valli,Pataballa,LDEHAAN,590.423.4560,05-Feb-06,IT_PROG,,F,101,OPERATOR
107,Diana,Lorentz,LDEHAAN,590.423.5567,07-Feb-07,IT_PROG,4200,M,101,OPERATOR
108,Nancy,Greenberg,LDEHAAN,515.124.4569,17-Aug-02,FI_MGR,,M,101,OPERATOR
109,Daniel,Faviet,LDEHAAN,515.124.4169,17-Aug-02,FI_ACCOUNT,9000,F,108,TECHNICAL
110,John,Chen,JCHEN,515.124.4269,17-Aug-02,FI_ACCOUNT,8200,M,108,ELECTRONICS
111,Ismael,Sciarra,ISCIARRA,515.124.4369,17-Aug-02,FI_ACCOUNT,7700,M,108,ELECTRONICS
112,Jose Manuel,Urman,JMURMAN,515.124.4469,17-Aug-02,FI_ACCOUNT,7800,F,108,ELECTRONICS
198,Luis,Popp,LPOPP,515.124.4567,17-Aug-02,FI_ACCOUNT,6900,M,108,ELECTRONICS
114,Den,Raphaely,DRAPHEAL,515.127.4561,17-Aug-02,PU_MAN,,F,100,ELECTRONICS
115,Alexander,Khoo,AKHOO,515.127.4562,17-Aug-02,PU_CLERK,3100,M,114,ELECTRONICS
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900,M,114,ELECTRONICS
